id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
"10518803","2012-05-09 15:05:08","2","1984","Cannot export to CSV after data alignment","2","3","","Michele Reilly","368","",""
"10545957","2012-05-11 05:36:56","13","15632","creating pandas data frame from multiple files","4","0","11","Abhi","2423","zach","10158"
"10575251","2012-05-13 21:05:23","0","154","Why is there this read_fwf() error?","1","0","","user1234440","6650","Garrett","25937"
"10591796","2012-05-14 22:17:20","1","165","Python Pandas: Aggregate changed from 0.7.1 to 0.7.3","0","2","","Dylan Cutler","41","",""
"10594515","2012-05-15 05:17:50","0","2089","Why isn't read_fwf() output correct content of files?","1","0","","user1234440","6650","",""
"10595327","2012-05-15 06:34:02","4","9249","Pandas: Sort pivot table","1","1","2","mrmagooey","3320","Wes McKinney","63311"
"10671227","2012-05-20 06:14:57","0","494","Pandas FloatingPoint Error","1","5","","tshauck","9885","Karmel","3246"
"10697423","2012-05-22 07:14:56","2","3343","How do I display multiple charts in pandas python","2","1","","chrisfs","2609","Wes McKinney","63311"
"10723847","2012-05-23 16:08:37","0","103","Print out inner series","1","7","","fred","4889","",""
"10728757","2012-05-23 22:27:09","0","1679","numpy function to aggregate a signal for time?","3","4","","saroele","3676","",""
"10751127","2012-05-25 08:35:27","45","28972","Returning multiple values from pandas apply on a DataFrame","1","2","14","Einar","1930","",""
"10771745","2012-05-27 04:53:45","0","1172","Removing duplicates from dataframe with index + row matching","1","2","1","dailyglen","500","dailyglen","500"
"10791661","2012-05-29 00:06:52","8","16996","How do I discretize values in a pandas DataFrame and convert to a binary matrix?","5","0","3","Uri Laserson","1130","lbolla","4822"
"10816994","2012-05-30 13:10:38","1","2540","Python Pandas: Data Downsampling","2","1","","user1412286","81","lbolla","4822"
"10867028","2012-06-03 00:38:37","67","64017","Get pandas.read_csv to read empty values as empty string instead of nan","3","0","11","BrenBarn","176765","Wes McKinney","63311"
"10908295","2012-06-06 04:46:19","5","3292","How to convert pandas dataframe so that index is the unique set of values and data is the count of each value?","1","0","2","dailyglen","500","Wes McKinney","63311"
"10943478","2012-06-08 05:24:57","14","12944","pandas reindex DataFrame with datetime objects","1","0","4","BFTM","1340","BrenBarn","176765"
"10972410","2012-06-10 21:12:43","23","59593","pandas: combine two columns in a DataFrame","5","0","6","BFTM","1340","BrenBarn","176765"
"11004088","2012-06-12 20:11:53","5","2372","indexing a pandas DataFrame","1","0","1","elyase","27069","diliop","7728"
"11012981","2012-06-13 10:29:47","5","7696","Create Excel-like SUMIFS in Pandas","2","0","1","Julio Guzman","41","",""
"11015974","2012-06-13 13:32:55","0","661","Vectorize High Frequency Data, Calculate Spread,","1","4","","Andrew","333","Pavel T","198"
"11018120","2012-06-13 15:19:52","2","582","Bug in resampling with pandas 0.8?","1","0","","sweetdream","940","Wes McKinney","63311"
"11039985","2012-06-14 19:25:11","1","62","to_panel fills nonexistent values with (seemingly) huge random numbers","0","1","","K Raphael","521","",""
"11041411","2012-06-14 21:11:12","10","8887","How to write/read a Pandas DataFrame with MultiIndex from/to an ASCII file?","2","1","3","dailyglen","500","diliop","7728"
"11057222","2012-06-15 19:45:33","5","2090","How can I iterate and apply a function over a single level of a DataFrame with MultiIndex?","2","0","1","Tim Whitcomb","8476","Wes McKinney","63311"
"11067027","2012-06-16 21:05:01","249","204005","Re-ordering columns in pandas dataframe based on column name","11","0","63","pythOnometrist","1855","BrenBarn","176765"
"11077023","2012-06-18 04:45:48","187","120573","What are the differences between Pandas and NumPy+SciPy in Python?","3","0","48","","","Wes McKinney","63311"
"11131647","2012-06-21 04:48:00","2","282","Pandas - Aggregating grouped data provided certain criteria is met","1","0","1","enrishi","628","",""
"11136006","2012-06-21 10:15:21","4","6263","Python Pandas: What is the fastest way to create a datetime index?","1","2","3","user1412286","81","diliop","7728"
"11174367","2012-06-24 01:32:34","2","3294","Averaging data from multiple data files in Python with pandas","3","0","1","Randy Olson","1806","Wes McKinney","63311"
"11194610","2012-06-25 17:52:09","20","9946","How can I reorder multi-indexed dataframe columns at a specific level","3","0","2","Tim Whitcomb","8476","Wes McKinney","63311"
"11199437","2012-06-26 00:52:19","2","1857","issue with pandas and semilog for boxplot","1","2","","Bonnie Yu MSFT","195","",""
"11230071","2012-06-27 15:41:10","3","878","Resampling pandas timeseries without computing a new offset","1","0","","Tim Whitcomb","8476","",""
"11253390","2012-06-28 21:47:30","1","676","Find all elements in dataframe column that startswith string","1","0","","Julio Guzman","41","",""
"11289670","2012-07-02 07:52:09","0","912",".EXE installer crashes when installing Python modules: IPython, Pandas and Matplotlib","3","1","","","","",""
"11321243","2012-07-04 01:09:56","3","1742","grouped pandas DataFrames: how do I apply scipy.stats.sem to them?","1","4","2","Randy Olson","1806","ely","44893"
"11334098","2012-07-04 18:43:10","2","8598","How to take out the column index name in dataframe","2","0","0","user1234440","6650","ely","44893"
"11414596","2012-07-10 13:40:36","5","9268","dropping a row in pandas with dates indexes, python","2","0","","user1504276","7900","eumiro","144513"
"11415701","2012-07-10 14:36:11","17","19943","Efficiently construct Pandas DataFrame from large list of tuples/rows","2","2","4","ely","44893","eumiro","144513"
"11418192","2012-07-10 16:56:37","78","55537","pandas: complex filter on rows of DataFrame","5","0","13","duckworthd","6641","duckworthd","6641"
"11422552","2012-07-10 21:48:20","3","370","pandas: bypassing numerical index","1","0","","duckworthd","6641","Chang She","11916"
"11515290","2012-07-17 02:35:00","3","1003","Snapping to hours in pandas","2","1","","Lamarth","23","",""
"11548005","2012-07-18 18:30:02","138","47068","NumPy or Pandas: Keeping array type as integer while having a NaN value","7","4","29","ely","44893","techvslife","1127"
"11553370","2012-07-19 03:06:07","1","1786","Efficient method for getting elementwise types in Python/Pandas","1","5","","ely","44893","Wes McKinney","63311"
"11586068","2012-07-20 19:49:20","1","1294","Collapse a Pandas multiindex or run OLS regression on a multiindexed dataframe","1","1","2","David M","84","",""
"11587782","2012-07-20 22:33:29","31","101115","Creating dummy variables in pandas for python","9","0","25","user1074057","837","ely","44893"
"11672403","2012-07-26 15:09:43","7","1923","Adding my own description attribute to a Pandas DataFrame","1","0","1","ely","44893","",""
"11720334","2012-07-30 11:13:37","4","2923","selecting data from pandas panel with MultiIndex","3","0","2","Eugene Redekop","41","",""
"11728836","2012-07-30 20:08:57","88","6730","Efficiently applying a function to a grouped pandas DataFrame in parallel","1","7","19","user2303","628","",""
"11740587","2012-07-31 12:54:59","0","186","pandas: taking corresponding differences","1","0","1","user1504276","7900","",""
"11762815","2012-08-01 15:41:19","6","3106","How to resample a python pandas TimeSeries containing dytpe Decimal values?","2","1","","THM","330","THM","330"
"11763204","2012-08-01 16:04:15","5","5456","How to efficiently handle European decimal separators using the pandas read_csv function?","2","2","2","THM","330","lbolla","4822"
"11773862","2012-08-02 08:40:01","2","847","Unexpected result when upsampling hourly values using the pandas resample function","1","1","","THM","330","SiggyF","14523"
"11787883","2012-08-03 00:55:14","3","861","pandas - More efficient way to calculate two Series with circular dependencies","1","0","1","MikeRand","2311","Chang She","11916"
"11794584","2012-08-03 11:11:12","0","293","pandas - cumprod when prior index is in denominator and numerator","1","0","","MikeRand","2311","",""
"11824341","2012-08-06 07:47:34","0","1841","Pandas: date_range error","5","2","","scry","802","scry","802"
"11836286","2012-08-06 21:33:08","3","4143","Pulling variable names when using pandas and statsmodels","2","0","","user1074057","837","DSM","234989"
"11848578","2012-08-07 14:50:42","1","496","Pandas messing up dataframe","2","3","","user1569050","3534","user1569050","3534"
"11869910","2012-08-08 17:25:37","289","473755","pandas: filter rows of DataFrame with operator chaining","14","1","107","duckworthd","6641","Wouter Overmeire","36034"
"11870058","2012-08-08 17:36:35","0","419","pandas: stacking DataFrames generated by apply","1","0","","duckworthd","6641","",""
"11637384","2012-07-24 18:50:11","20","31681","Pandas join/merge/concat two dataframes","2","0","5","Michael WS","978","Wes McKinney","63311"
"11621165","2012-07-23 21:57:01","11","25993","Indexing a pandas dataframe by integer","2","0","10","SiggyF","14523","Michelle Lynn Gill","936"
"11620721","2012-07-23 21:23:50","6","3487","handling missing data in Pandas","1","0","4","vgoklani","2970","Chang She","11916"
"11619144","2012-07-23 19:26:32","0","651","Pandas xaxis auto-format issue","2","0","","joelhoro","426","HYRY","71257"
"11607387","2012-07-23 06:24:19","9","11073","Is there a C/C++ API for python pandas?","3","0","5","THM","330","ecatmur","119416"
"11285613","2012-07-01 21:03:16","911","1895219","Selecting multiple columns in a pandas dataframe","15","5","254","user1234440","6650","ely","44893"
"11265116","2012-06-29 15:58:11","1","5958","Most efficient way to calculate the mean of a group of columns in a pandas DataFrame","2","0","1","Einar","1930","DSM","234989"
"11264307","2012-06-29 15:09:28","10","8386","Adding levels to MultiIndex, removing without losing","1","0","4","Arthur G","1087","Arthur G","1087"
"11871152","2012-08-08 18:49:06","0","1570","Handle with European date format in python pandas","1","0","","Nicola Vianello","738","Chang She","11916"
"11885916","2012-08-09 14:41:05","7","918","Joining a Pandas series with a hierarchical index back to the source DataFrame","2","0","3","JD Long","38171","Wouter Overmeire","36034"
"11918342","2012-08-11 23:01:25","3","6067","Converting date/time in Pandas","3","1","1","vgoklani","2970","jdmarino","325"
"11925827","2012-08-12 20:57:10","4","8098","pandas: Writing to an existing excel file (xlsx) using to_excel","1","0","1","Peter","506","Y__","1469"
"11940420","2012-08-13 18:47:16","3","228","Pandas: Separating grouping and indexing","1","0","1","Freddie Witherden","1236","Wouter Overmeire","36034"
"11941492","2012-08-13 20:07:07","33","30091","Selecting rows from a Pandas dataframe with a compound (hierarchical) index","3","0","25","JD Long","38171","Wes McKinney","63311"
"11945897","2012-08-14 04:43:43","1","1055","DataFrame.from_records convert (Django) datetime to datetime64: Value Error","2","0","","Paul","8","Wes McKinney","63311"
"11973741","2012-08-15 17:04:17","7","26217","Filtering and selecting from pivot tables made with python pandas","2","0","2","alexhli","72","",""
"11976503","2012-08-15 20:10:04","104","45300","How to keep index when using pandas merge","4","1","37","DanB","1241","Wouter Overmeire","36034"
"11987270","2012-08-16 12:36:11","0","621","Getting MemoryError from DataFrame.sortlevel in pandas","3","6","","SlimJim","1509","",""
"11991627","2012-08-16 16:27:44","12","37419","Selecting a subset of a Pandas DataFrame indexed by DatetimeIndex with a list of TimeStamps","1","0","4","seumas","392","Wouter Overmeire","36034"
"12021730","2012-08-18 19:45:34","35","20463","Can pandas handle variable-length whitespace as column delimiters","3","7","5","zach","10158","DSM","234989"
"12021754","2012-08-18 19:49:41","32","69106","How to slice a Pandas Data Frame by position?","3","0","8","turtle","1980","RuiDC","3549"
"12022823","2012-08-18 22:50:26","2","1857","appending columns produces NaN in pandas DataFrame","1","0","1","nat","336","",""
"12030398","2012-08-19 22:06:01","2","5397","concatenate multiple columns based on index in pandas","1","2","2","zach","10158","DSM","234989"
"12031532","2012-08-20 02:04:05","0","731","possible inconsistency in text handling of pandas read_table() function","1","8","","zach","10158","Wouter Overmeire","36034"
"12034727","2012-08-20 08:53:05","1","247","How to revert an unstacked dataframe in pandas","1","0","","SlimJim","1509","Wouter Overmeire","36034"
"12052067","2012-08-21 09:37:29","20","3430","If I use python pandas, is there any need for structured arrays?","3","1","1","hatmatrix","19733","Wes McKinney","63311"
"12082568","2012-08-22 23:03:38","14","6115","What exactly do the whiskers in pandas' boxplots specify?","4","0","2","vasek1","4243","Chang She","11916"
"12096252","2012-08-23 16:31:12","588","538326","Use a list of values to select rows from a pandas dataframe","1","1","156","zach","10158","Wouter Overmeire","36034"
"12100396","2012-08-23 21:40:56","2","568","column names on grouped DataFrame output to CSV","1","0","","G Garcia","991","Owen S.","6427"
"12100497","2012-08-23 21:50:36","16","36017","pandas: set values with (row, col) indices","2","1","3","duckworthd","6641","",""
"12101113","2012-08-23 22:54:04","15","7381","Prevent pandas from automatically inferring type in read_csv","2","5","6","duckworthd","6641","Paul H","36143"
"12107053","2012-08-24 09:52:54","2","581","include Pandas plot in MatplotlibWidget","0","3","","bigsleep","152","",""
"12110812","2012-08-24 13:54:16","0","521","Processing multiple values string in Pandas DataFrame column","1","1","","G Garcia","991","",""
"12115421","2012-08-24 19:18:31","0","311","Pandas Time Series from text","1","0","","","","",""
"12133075","2012-08-26 19:10:01","22","6800","Sorting a pandas series","2","0","9","vasek1","4243","Wes McKinney","63311"
"12138126","2012-08-27 07:53:22","3","4860","Difference between parse_date=[0] and parse_date=True in pandas.read_csv","2","0","","SlimJim","1509","Wouter Overmeire","36034"
"12167324","2012-08-28 20:49:57","5","969","How to broadcast to a multiindex","1","0","2","ely","44893","",""
"12167634","2012-08-28 21:14:58","1","903","data cleaning a python dataframe","1","0","2","Michele Reilly","368","",""
"12183432","2012-08-29 17:30:24","4","4009","Typecasting before division (or any other mathematical operator) of columns in dataframes","2","0","2","Navneet","2928","Eero Aaltonen","2592"
"12186994","2012-08-29 21:47:00","6","7102","Johansen cointegration test in python","3","0","3","mspadaccino","133","Josef","15319"
"12190716","2012-08-30 06:00:25","9","11462","How to do a 'groupby' by multilevel index in Pandas","2","0","5","bigbug","14070","Wouter Overmeire","36034"
"12193253","2012-08-30 08:54:00","3","4428","pandas merge timeseries, concat/append/...?","2","1","2","bigsleep","152","eumiro","144513"
"12200693","2012-08-30 15:45:26","66","54989","Python Pandas How to assign groupby operation results back to columns in parent dataframe?","5","3","31","ely","44893","Wouter Overmeire","36034"
"12201099","2012-08-30 16:07:19","1","4471","python pandas: Rename a series within a dataframe?","1","0","1","Abe","7621","DSM","234989"
"12203901","2012-08-30 19:15:56","30","20792","pandas crashes on repeated DataFrame.reset_index()","1","0","2","Abe","7621","Abe","7621"
"12207326","2012-08-31 00:10:12","91","105873","Frequency table for a single variable","3","0","21","Abe","7621","DSM","234989"
"12217960","2012-08-31 15:00:12","5","1049","How to replace&add the dataframe element by another dataframe in Python Pandas?","4","2","1","bigbug","14070","Def_Os","3669"
"12224778","2012-09-01 03:57:04","4","6799","How to filter by sub-level index in Pandas","1","1","5","bigbug","14070","Garrett","25937"
"12227483","2012-09-01 11:54:46","2","1479","Pandas & Scikit: memory usage when slicing DataFrame","1","2","4","James","18217","ogrisel","30861"
"12227974","2012-09-01 13:01:35","0","1246","how include pandas library on my python package?","1","3","","Francesco","98","",""
"12250024","2012-09-03 14:44:51","32","50988","How to obtain sheet names from XLS files without loading the whole file?","3","2","14","pcarvalho","195","Colin O'Coal","939"
"12250475","2012-09-03 15:16:55","2","3174","Create a pandas DataFrame from a csv stacked file","1","2","","mspadaccino","133","Chang She","11916"
"12255179","2012-09-03 23:49:01","1","1470","numpy/pandas: How to convert a series of strings of zeros and ones into a matrix","2","0","","Abe","7621","Henry Gomersall","5812"
"12260124","2012-09-04 09:05:41","7","1061","How to plot a rectangle behind a function over time","1","5","2","SlimJim","1509","Wouter Overmeire","36034"
"12269158","2012-09-04 18:14:35","2","4181","Python Pandas idiom for converting TimeSeries with lists as values into a DataFrame","1","0","","ely","44893","Chang She","11916"
"12315810","2012-09-07 09:54:46","4","2673","Output pandas grouped dataframe without aggregation","2","0","1","jf328","2315","Paul H","36143"
"12322289","2012-09-07 16:49:21","14","6526","KDB+ like asof join for timeseries data in pandas?","3","1","9","signalseeker","2077","Chang She","11916"
"12322869","2012-09-07 17:38:32","6","10742","From tick by tick data to candlestick","2","3","11","Femto Trader","964","",""
"12324162","2012-09-07 19:21:24","3","3601","From tick by tick data to Renko chart","1","2","1","Femto Trader","964","",""
"12329853","2012-09-08 10:16:04","18","61812","How to rearrange Pandas column sequence?","6","0","8","bigbug","14070","bigbug","14070"
"12353359","2012-09-10 14:04:02","4","1191","Why Pandas cause 'ZeroDivisionError' in one case but not in the other?","2","2","","bigbug","14070","Chang She","11916"
"12356501","2012-09-10 17:17:38","92","84340","Pandas: create two new columns in a dataframe with values calculated from a pre-existing column","2","0","46","joaquin","60436","DSM","234989"
"12358360","2012-09-10 19:39:24","25","13205","Python pandas order column according to the values in a row","4","0","8","Curious","1122","",""
"12368180","2012-09-11 10:58:50","2","2384","Duplicate entries for index in pandas pivot function","1","0","3","mspadaccino","133","Wes McKinney","63311"
"12382197","2012-09-12 06:16:15","1","180","Generating a boolean mask indexing one array into another array","3","4","","Daniel Velkov","19928","Pierre GM","15084"
"12383436","2012-09-12 07:47:20","4","2115","Access Pandas Series item with dot notation like DataFrame","2","0","1","PhE","4188","PhE","4188"
"12389898","2012-09-12 13:58:12","30","26267","Python Pandas: how to add a totally new column to a data frame inside of a groupby/transform operation","1","3","14","ely","44893","Chang She","11916"
"12390336","2012-09-12 14:21:11","12","4352","How to fill the missing record of Pandas dataframe in pythonic way?","1","3","1","bigbug","14070","Paul H","36143"
"12393387","2012-09-12 17:23:17","2","2578","Python Pandas: How to broadcast an operation using apply without writing a secondary function","3","4","","ely","44893","Avaris","27096"
"12408826","2012-09-13 14:40:11","0","148","Simplify a date in a Dataframe","2","4","","cp151","77","Jon Clements","107390"
"12410438","2012-09-13 16:05:55","9","6420","How to use Pandas groupby apply() without adding an extra index","1","0","3","user2303","628","Chang She","11916"
"12411649","2012-09-13 17:27:27","8","4874","Filter columns of only zeros from a Pandas data frame","1","1","2","turtle","1980","ely","44893"
"12411897","2012-09-13 17:44:31","1","244","Can I make fuzzy matches for header field names in python pandas csv loading?","1","0","","jbssm","3444","Chang She","11916"
"12416932","2012-09-14 01:17:06","3","300","Grouping data by multiple dates in pandas","1","0","1","user1074057","837","HYRY","71257"
"12420598","2012-09-14 08:19:12","0","70","Which DataFrame representation for readable tests","1","1","","PhE","4188","",""
"12427056","2012-09-14 14:59:21","4","1311","Is it possible to hierarchically label a matplotlib (pyplot) bar plot?","1","1","1","blz","6205","Wouter Overmeire","36034"
"12429279","2012-09-14 17:28:29","0","264","Design strategy for managing and processing datasets with Pandas + PyTables","1","0","","heltonbiker","14823","Chang She","11916"
"12432803","2012-09-14 22:31:56","0","135","weird behaviour when executing python script","1","6","","mspadaccino","133","",""
"12433076","2012-09-14 23:06:15","44","107452","Download history stock prices automatically from yahoo finance in python","5","1","45","Bob","3222","Joe C.","1476"
"12436895","2012-09-15 11:15:03","0","838","How to create a multiIndex object from series?","1","0","","bigbug","14070","Bakuriu","71689"
"12483121","2012-09-18 18:48:17","0","1870","Pandas read_csv index exception","1","4","","milkypostman","2605","",""
"12490657","2012-09-19 08:00:10","6","2300","How can I save this matplotlib figure such that the x-axis labels are not cropped out?","1","0","1","blz","6205","Wouter Overmeire","36034"
"12490762","2012-09-19 08:09:24","2","6736","How to groupby the first level index and apply function to the second index in Pandas","2","0","1","bigbug","14070","Def_Os","3669"
"12497402","2012-09-19 15:01:32","115","125315","python pandas: Remove duplicates by columns A, keeping the row with the highest value in column B","10","2","53","Abe","7621","Wes McKinney","63311"
"12498809","2012-09-19 16:17:54","4","1230","Python pandas duplicate values error","1","3","","Curious","1122","",""
"12504951","2012-09-20 01:20:19","21","9467","Save session in IPython like in MATLAB?","5","2","8","Navneet","2928","",""
"12504976","2012-09-20 01:24:57","49","43805","Get last ""column"" after .str.split() operation on column in pandas DataFrame","5","0","25","Richard Herron","6018","DSM","234989"
"12519103","2012-09-20 18:58:25","-1","2300","How to call set_index() on DataFrame?","1","1","","Michele Reilly","368","",""
"12520537","2012-09-20 20:36:23","3","2575","python How to make a dendrogram from a dataframe","1","3","3","Curious","1122","",""
"12520727","2012-09-20 20:50:22","1","103","Restricting function to unique dates - Multi-Index","1","1","","Michele Reilly","368","Andy Hayden","218111"
"12521909","2012-09-20 22:35:57","4","4963","How can I multiply two dataframes with different column labels in pandas?","3","2","3","jmloser","135","Chang She","11916"
"12522963","2012-09-21 00:56:50","1","6248","converters for python pandas","2","3","","tomasz74","5524","nneonneo","134037"
"12525722","2012-09-21 07:04:23","125","210906","Normalize data in pandas","5","0","42","jason","1558","Wouter Overmeire","36034"
"12544361","2012-09-22 13:54:10","2","1077","How to organize structured data in pandas dataframe","1","0","","mspadaccino","133","Chang She","11916"
"12548349","2012-09-22 22:56:42","5","9560","removing particular rows from DataFrame in python pandas","1","1","2","tomasz74","5524","Chang She","11916"
"12555323","2012-09-23 19:00:01","873","1800583","Adding new column to existing DataFrame in Python pandas","22","0","253","tomasz74","5524","joaquin","60436"
"12569730","2012-09-24 17:11:53","35","10655","Sum all columns with a wildcard name search using Python Pandas","3","4","7","jbssm","3444","jbssm","3444"
"12588031","2012-09-25 17:24:35","0","1252","Python Pandas: converting several boolean columns into a (possibly repeated) column made up of the boolean column names","1","0","1","ely","44893","Chang She","11916"
"12589481","2012-09-25 19:05:26","94","50388","Multiple aggregations of the same column using pandas GroupBy.agg()","3","2","26","ely","44893","bmu","24487"
"12593759","2012-09-26 02:30:35","1","598","Pandas Data Reconcilation","1","0","","scriptdiddy","394","Chang She","11916"
"12597926","2012-09-26 08:50:48","5","4787","Pandas hierarchical dataframe","1","0","3","root","45129","Wouter Overmeire","36034"
"12608718","2012-09-26 19:08:06","1","709","python pandas unbound local error while calling a function 'df.apply'","2","0","","Curious","1122","DSM","234989"
"12609631","2012-09-26 20:13:51","0","117","Python- count number of strings in pandas series","0","3","","tomasz74","5524","",""
"12619215","2012-09-27 10:25:01","4","9962","Adding DataFrame to Panel in Python pandas","1","0","1","tomasz74","5524","Chang She","11916"
"12625650","2012-09-27 16:10:31","18","6976","Pandas: grep like function","1","0","5","fred","4889","Wouter Overmeire","36034"
"12641606","2012-09-28 14:06:39","0","1535","Pandas: sorting numbers within text by column","3","0","","fred","4889","fred","4889"
"12645216","2012-09-28 18:11:46","5","2636","pyPandas functionality request: reverse/negative df.drop","2","2","","fred","4889","Garrett","25937"
"12647811","2012-09-28 21:46:38","1","747","Swap cells strings from 2 dataframe columns","3","1","0","fred","4889","fred","4889"
"12664590","2012-09-30 19:58:30","9","2996","Linear regression - reduce degrees of freedom","2","0","","Femto Trader","964","Avaris","27096"
"12700251","2012-10-03 00:13:49","0","278","Pandas: Edge case on boolean index into empty DataFrame","0","2","","Lamarth","23","",""
"12711211","2012-10-03 14:58:52","1","3631","Receiving 'error multiple values for index' in a simple DataFrame","1","0","","","","root","45129"
"12711551","2012-10-03 15:16:58","0","951","feed empty pandas.dataframe with several files","2","0","","fred","4889","Wouter Overmeire","36034"
"12720159","2012-10-04 04:10:11","0","160","pandas alternative to string creation loop","1","2","","dmvianna","7186","dmvianna","7186"
"12725417","2012-10-04 10:36:50","42","24488","Drop non-numeric columns from a pandas DataFrame","4","1","9","Einar","1930","sapo_cosmico","2245"
"12734320","2012-10-04 19:18:13","0","629","pyPandas: mess with join/append/concat two dataframes","1","0","","fred","4889","",""
"12741092","2012-10-05 06:55:44","28","24581","Pandas DataFrame: apply function to all columns","2","3","8","root","45129","BrenBarn","176765"
"12747417","2012-10-05 13:34:16","3","4280","pyPandas: default columns names","2","0","","fred","4889","bmu","24487"
"12772498","2012-10-07 20:15:34","3","1849","serialize pandas (python) dataframe to binary format","2","0","1","mathtick","2175","",""
"12797352","2012-10-09 09:53:11","0","1004","Pandas transpose concat()","1","3","","PhE","4188","root","45129"
"12810801","2012-10-10 01:43:11","1","1206","Union all type query with python pandas","1","0","","dantes_419","134","dantes_419","134"
"12818103","2012-10-10 11:20:08","0","3885","Pandas datetime convert & filter issue","2","1","","bigbug","14070","Wouter Overmeire","36034"
"12829428","2012-10-10 22:29:44","10","13165","Quickly applying string operations in a pandas DataFrame","1","1","6","duckworthd","6641","Wes McKinney","63311"
"12834568","2012-10-11 07:41:36","10","11080","How to convert a Pandas DatetimeIndex to string accordingly","1","0","1","bigbug","14070","eumiro","144513"
"12840847","2012-10-11 13:37:12","3","1661","Filling higher-frequency windows when upsampling with pandas","1","0","3","Abiel","2170","eumiro","144513"
"12841827","2012-10-11 14:24:51","2","1594","Accessing pandas Multiindex Dataframe using integer indexes","1","2","","elyase","27069","Wouter Overmeire","36034"
"12844900","2012-10-11 17:08:57","2","3393","Upsampling to weekly data in pandas","1","1","2","Abiel","2170","Chang She","11916"
"12906450","2012-10-16 01:49:16","0","145","Transformed Data Takes up 4x more space for a doubling of variables in pandas for python","1","0","","user1074057","837","BrenBarn","176765"
"12926660","2012-10-17 03:27:29","1","1530","Convert integer index from Fama-French factors to datetime index in pandas","2","0","","Richard Herron","6018","Chang She","11916"
"12939093","2012-10-17 16:37:42","1","191","Subclassing pandas.Index","3","0","","andreas-h","3701","Chang She","11916"
"12946578","2012-10-18 03:21:26","3","1156","Is this a python pandas DataFrame post sort plot bug?","1","0","1","mathtick","2175","Wouter Overmeire","36034"
"12957593","2012-10-18 14:55:31","4","1084","Pandas: reshape data with duplicate row names to columns","1","0","1","Einar","1930","Adam","93"
"12962705","2012-10-18 19:56:34","6","5903","python pandas remove duplicates in series","2","0","","mathtick","2175","root","45129"
"12974404","2012-10-19 12:34:46","6","6445","Unexpected results of min() and max() methods of Pandas series made of Timestamp objects","1","3","1","LukaszJ","70","Chang She","11916"
